,Id,Modified_Date,month,Country/Region,country_index,state_index,harvesine-lat-long,ConfirmedCases,Fatalities
0,1,2020-01-22,1,Afghanistan,0,0,0.6042419418615346,0,0
1,2,2020-01-23,1,Afghanistan,0,0,0.6042419418615346,0,0
2,3,2020-01-24,1,Afghanistan,0,0,0.6042419418615346,0,0
3,4,2020-01-25,1,Afghanistan,0,0,0.6042419418615346,0,0
4,5,2020-01-26,1,Afghanistan,0,0,0.6042419418615346,0,0
5,6,2020-01-27,1,Afghanistan,0,0,0.6042419418615346,0,0
6,7,2020-01-28,1,Afghanistan,0,0,0.6042419418615346,0,0
7,8,2020-01-29,1,Afghanistan,0,0,0.6042419418615346,0,0
8,9,2020-01-30,1,Afghanistan,0,0,0.6042419418615346,0,0
9,10,2020-01-31,1,Afghanistan,0,0,0.6042419418615346,0,0
10,11,2020-02-01,2,Afghanistan,0,0,0.6042419418615346,0,0
11,12,2020-02-02,2,Afghanistan,0,0,0.6042419418615346,0,0
12,13,2020-02-03,2,Afghanistan,0,0,0.6042419418615346,0,0
13,14,2020-02-04,2,Afghanistan,0,0,0.6042419418615346,0,0
14,15,2020-02-05,2,Afghanistan,0,0,0.6042419418615346,0,0
15,16,2020-02-06,2,Afghanistan,0,0,0.6042419418615346,0,0
16,17,2020-02-07,2,Afghanistan,0,0,0.6042419418615346,0,0
17,18,2020-02-08,2,Afghanistan,0,0,0.6042419418615346,0,0
18,19,2020-02-09,2,Afghanistan,0,0,0.6042419418615346,0,0
19,20,2020-02-10,2,Afghanistan,0,0,0.6042419418615346,0,0
20,21,2020-02-11,2,Afghanistan,0,0,0.6042419418615346,0,0
21,22,2020-02-12,2,Afghanistan,0,0,0.6042419418615346,0,0
22,23,2020-02-13,2,Afghanistan,0,0,0.6042419418615346,0,0
23,24,2020-02-14,2,Afghanistan,0,0,0.6042419418615346,0,0
24,25,2020-02-15,2,Afghanistan,0,0,0.6042419418615346,0,0
25,26,2020-02-16,2,Afghanistan,0,0,0.6042419418615346,0,0
26,27,2020-02-17,2,Afghanistan,0,0,0.6042419418615346,0,0
27,28,2020-02-18,2,Afghanistan,0,0,0.6042419418615346,0,0
28,29,2020-02-19,2,Afghanistan,0,0,0.6042419418615346,0,0
29,30,2020-02-20,2,Afghanistan,0,0,0.6042419418615346,0,0
30,31,2020-02-21,2,Afghanistan,0,0,0.6042419418615346,0,0
31,32,2020-02-22,2,Afghanistan,0,0,0.6042419418615346,0,0
32,33,2020-02-23,2,Afghanistan,0,0,0.6042419418615346,0,0
33,34,2020-02-24,2,Afghanistan,0,0,0.6042419418615346,1,0
34,35,2020-02-25,2,Afghanistan,0,0,0.6042419418615346,1,0
35,36,2020-02-26,2,Afghanistan,0,0,0.6042419418615346,1,0
36,37,2020-02-27,2,Afghanistan,0,0,0.6042419418615346,1,0
37,38,2020-02-28,2,Afghanistan,0,0,0.6042419418615346,1,0
38,39,2020-02-29,2,Afghanistan,0,0,0.6042419418615346,1,0
39,40,2020-03-01,3,Afghanistan,0,0,0.6042419418615346,1,0
