,Country/Region,Modified_Date,ConfirmedCases,Fatalities
0,Afghanistan,2020-01-22,0,0
1,Afghanistan,2020-01-23,0,0
2,Afghanistan,2020-01-24,0,0
3,Afghanistan,2020-01-25,0,0
4,Afghanistan,2020-01-26,0,0
5,Afghanistan,2020-01-27,0,0
6,Afghanistan,2020-01-28,0,0
7,Afghanistan,2020-01-29,0,0
8,Afghanistan,2020-01-30,0,0
9,Afghanistan,2020-01-31,0,0
10,Afghanistan,2020-02-01,0,0
11,Afghanistan,2020-02-02,0,0
12,Afghanistan,2020-02-03,0,0
13,Afghanistan,2020-02-04,0,0
14,Afghanistan,2020-02-05,0,0
15,Afghanistan,2020-02-06,0,0
16,Afghanistan,2020-02-07,0,0
17,Afghanistan,2020-02-08,0,0
18,Afghanistan,2020-02-09,0,0
19,Afghanistan,2020-02-10,0,0
20,Afghanistan,2020-02-11,0,0
21,Afghanistan,2020-02-12,0,0
22,Afghanistan,2020-02-13,0,0
23,Afghanistan,2020-02-14,0,0
24,Afghanistan,2020-02-15,0,0
25,Afghanistan,2020-02-16,0,0
26,Afghanistan,2020-02-17,0,0
27,Afghanistan,2020-02-18,0,0
28,Afghanistan,2020-02-19,0,0
29,Afghanistan,2020-02-20,0,0
30,Afghanistan,2020-02-21,0,0
31,Afghanistan,2020-02-22,0,0
32,Afghanistan,2020-02-23,0,0
33,Afghanistan,2020-02-24,1,0
34,Afghanistan,2020-02-25,1,0
35,Afghanistan,2020-02-26,1,0
36,Afghanistan,2020-02-27,1,0
37,Afghanistan,2020-02-28,1,0
38,Afghanistan,2020-02-29,1,0
39,Afghanistan,2020-03-01,1,0
40,Afghanistan,2020-03-02,1,0
41,Afghanistan,2020-03-03,1,0
42,Afghanistan,2020-03-04,1,0
43,Afghanistan,2020-03-05,1,0
44,Afghanistan,2020-03-06,1,0
45,Afghanistan,2020-03-07,1,0
46,Afghanistan,2020-03-08,4,0
47,Afghanistan,2020-03-09,4,0
48,Afghanistan,2020-03-10,5,0
49,Afghanistan,2020-03-11,7,0
50,Afghanistan,2020-03-12,7,0
51,Afghanistan,2020-03-13,7,0
52,Afghanistan,2020-03-14,11,0
53,Afghanistan,2020-03-15,16,0
54,Afghanistan,2020-03-16,21,0
55,Afghanistan,2020-03-17,22,0
56,Afghanistan,2020-03-18,22,0
57,Afghanistan,2020-03-19,22,0
58,Afghanistan,2020-03-20,24,0
59,Albania,2020-01-22,0,0
60,Albania,2020-01-23,0,0
61,Albania,2020-01-24,0,0
62,Albania,2020-01-25,0,0
63,Albania,2020-01-26,0,0
64,Albania,2020-01-27,0,0
65,Albania,2020-01-28,0,0
66,Albania,2020-01-29,0,0
67,Albania,2020-01-30,0,0
68,Albania,2020-01-31,0,0
69,Albania,2020-02-01,0,0
70,Albania,2020-02-02,0,0
71,Albania,2020-02-03,0,0
72,Albania,2020-02-04,0,0
73,Albania,2020-02-05,0,0
74,Albania,2020-02-06,0,0
75,Albania,2020-02-07,0,0
76,Albania,2020-02-08,0,0
77,Albania,2020-02-09,0,0
78,Albania,2020-02-10,0,0
79,Albania,2020-02-11,0,0
80,Albania,2020-02-12,0,0
81,Albania,2020-02-13,0,0
82,Albania,2020-02-14,0,0
83,Albania,2020-02-15,0,0
84,Albania,2020-02-16,0,0
85,Albania,2020-02-17,0,0
86,Albania,2020-02-18,0,0
87,Albania,2020-02-19,0,0
88,Albania,2020-02-20,0,0
89,Albania,2020-02-21,0,0
90,Albania,2020-02-22,0,0
91,Albania,2020-02-23,0,0
92,Albania,2020-02-24,0,0
93,Albania,2020-02-25,0,0
94,Albania,2020-02-26,0,0
95,Albania,2020-02-27,0,0
96,Albania,2020-02-28,0,0
97,Albania,2020-02-29,0,0
98,Albania,2020-03-01,0,0
99,Albania,2020-03-02,0,0
100,Albania,2020-03-03,0,0
101,Albania,2020-03-04,0,0
102,Albania,2020-03-05,0,0
103,Albania,2020-03-06,0,0
104,Albania,2020-03-07,0,0
105,Albania,2020-03-08,0,0
106,Albania,2020-03-09,2,0
107,Albania,2020-03-10,10,0
108,Albania,2020-03-11,12,1
109,Albania,2020-03-12,23,1
110,Albania,2020-03-13,33,1
111,Albania,2020-03-14,38,1
112,Albania,2020-03-15,42,1
113,Albania,2020-03-16,51,1
114,Albania,2020-03-17,55,1
115,Albania,2020-03-18,59,2
116,Albania,2020-03-19,64,2
117,Albania,2020-03-20,70,2
118,Algeria,2020-01-22,0,0
119,Algeria,2020-01-23,0,0
120,Algeria,2020-01-24,0,0
121,Algeria,2020-01-25,0,0
122,Algeria,2020-01-26,0,0
123,Algeria,2020-01-27,0,0
124,Algeria,2020-01-28,0,0
125,Algeria,2020-01-29,0,0
126,Algeria,2020-01-30,0,0
127,Algeria,2020-01-31,0,0
128,Algeria,2020-02-01,0,0
129,Algeria,2020-02-02,0,0
130,Algeria,2020-02-03,0,0
131,Algeria,2020-02-04,0,0
132,Algeria,2020-02-05,0,0
133,Algeria,2020-02-06,0,0
134,Algeria,2020-02-07,0,0
135,Algeria,2020-02-08,0,0
136,Algeria,2020-02-09,0,0
137,Algeria,2020-02-10,0,0
138,Algeria,2020-02-11,0,0
139,Algeria,2020-02-12,0,0
140,Algeria,2020-02-13,0,0
141,Algeria,2020-02-14,0,0
142,Algeria,2020-02-15,0,0
143,Algeria,2020-02-16,0,0
144,Algeria,2020-02-17,0,0
145,Algeria,2020-02-18,0,0
146,Algeria,2020-02-19,0,0
147,Algeria,2020-02-20,0,0
148,Algeria,2020-02-21,0,0
149,Algeria,2020-02-22,0,0
150,Algeria,2020-02-23,0,0
151,Algeria,2020-02-24,0,0
152,Algeria,2020-02-25,1,0
153,Algeria,2020-02-26,1,0
154,Algeria,2020-02-27,1,0
155,Algeria,2020-02-28,1,0
156,Algeria,2020-02-29,1,0
157,Algeria,2020-03-01,1,0
158,Algeria,2020-03-02,3,0
159,Algeria,2020-03-03,5,0
160,Algeria,2020-03-04,12,0
161,Algeria,2020-03-05,12,0
162,Algeria,2020-03-06,17,0
163,Algeria,2020-03-07,17,0
164,Algeria,2020-03-08,19,0
165,Algeria,2020-03-09,20,0
166,Algeria,2020-03-10,20,0
167,Algeria,2020-03-11,20,0
168,Algeria,2020-03-12,24,1
169,Algeria,2020-03-13,26,2
170,Algeria,2020-03-14,37,3
171,Algeria,2020-03-15,48,4
172,Algeria,2020-03-16,54,4
173,Algeria,2020-03-17,60,4
174,Algeria,2020-03-18,74,7
175,Algeria,2020-03-19,87,9
176,Algeria,2020-03-20,90,11
177,Argentina,2020-01-22,0,0
178,Argentina,2020-01-23,0,0
179,Argentina,2020-01-24,0,0
180,Argentina,2020-01-25,0,0
181,Argentina,2020-01-26,0,0
182,Argentina,2020-01-27,0,0
183,Argentina,2020-01-28,0,0
184,Argentina,2020-01-29,0,0
